Date,Station name & ID,Loco Id,Direction,Issue Type,Issue Sub category,Issue Count,Issues noted During Trial,Time,Analysis,Root Cause/Why2,Corrective Action,Issue Category,Action Taken
03-03-2026,Chandanpur (CDAE) (12015),30328,DN (R),SR mode,,,Loco switched to SR mode,,Station log is completely empty. Need properly populated station log. The mentioned loco log also is not avaialable for analysis.,"Radio 1 RX: 396.17 KB
Radio 2 RX: 1.12 MB",,,
03-03-2026,Dankuni (DKAE) (12007),30328,DN (R),SR mode,,,Loco switched to SR mode,,Station log is completely empty. Need properly populated station log. The mentioned loco log also is not avaialable for analysis.,"Radio 1 RX: 2.91 MB
Radio 2 RX: 1.07 KB",,,
03-03-2026,Barddhaman Jn (BWN) (12028),30567,DN (R),LS mode,,,Loco switched to LS mode,,"Need to check Loco Antennas, as LS modes were occurred mostly in every station.","Radio 1 RX: 18.73 MB
Radio 2 RX: 15.57 MB",,,
03-03-2026,Saktigarh (SKG) (12026),30567,DN (R),LS mode,,,Loco switched to LS mode,,,"Radio 1 RX: 10.51 MB
Radio 2 RX: 1.14 MB",,,
03-03-2026,Masagram (MSAE) (12024),30567,DN (R),LS mode,,,Loco switched to LS mode,,,"Radio 1 RX: 7.12 MB
Radio 2 RX: 223.07 KB",,,
03-03-2026,Baruipara (BRPA) (12011),30567,DN (R),LS mode,,,Loco switched to LS mode,,,"Radio 1 RX: 979.77 KB
Radio 2 RX: 1.69 MB",,,
03-03-2026,Barddhaman Jn (BWN) (12028),30567,DN (R),LS mode,,,Loco switched to LS mode,,,"Radio 1 RX: 18.73 MB
Radio 2 RX: 15.57 MB",,,
03-03-2026,Howrah (HWH) (12000),30567,DN (R),SR mode,SOM,,Loco switched to SR mode,,"When the loco configuration was done, SOM SR authority was sent by station. After reading a known route Tag - 241 OS MA was sent by the station","Radio 1 RX: 363.36 KB
Radio 2 RX: 296.57 KB",,,
03-03-2026,Howrah Sorting Yard (SYAE) (12001),30567,DN (R),SR mode,,,Loco switched to SR mode,,No issue observed ,"Radio 1 RX: 258.37 KB
Radio 2 RX: 1.52 MB",,,
03-03-2026,Belmuri (BMAE) (12017),35048,DN (R),SR mode,,,Loco switched to SR mode,,According to station log there is no SR Mode degradation for this loco as the likely reason is missing data. Loco log also doesn't show any such incident for this loco at the mentioned station.,"Radio 1 RX: 2.09 MB
Radio 2 RX: 3.47 MB",,,
03-03-2026,Baruipara (BRPA) (12011),37268,DN (R),LS mode,Radio communicaiton failure,,Loco switched to LS mode,8:04:44,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 979.77 KB
Radio 2 RX: 1.69 MB",,,
03-03-2026,Baruipara (BRPA) (12011),37272,DN (R),LS mode,,,Loco switched to LS mode,,Station log is completely empty. Need properly populated station log. The mentioned loco log also is not avaialable for analysis.,"Radio 1 RX: 979.77 KB
Radio 2 RX: 1.69 MB",,,
03-03-2026,Janai Road (JOX) (12009),37610,DN (R),LS mode,Radio communicaiton failure,,Loco switched to LS mode,5:39:20,Loco delayed to register with the station causing the loco to switch to LS Mode. ,"Radio 1 RX: 208.25 KB
Radio 2 RX: 1.73 MB",,,
03-03-2026,Dankuni (DKAE) (12007),37610,DN (R),SR mode,,,Loco switched to SR mode,5:48:46,No issue observed ,"Radio 1 RX: 2.91 MB
Radio 2 RX: 1.07 KB",,,
